DCODE,DNAME,TEACHER,INST_AID,INST_SUP,GUIDANCE,LIB_SPEC,LIB_SUPP,LEA_ADM,LEA_SUPP,SCH_ADM,SCH_SUPP,STU_SUPP,OTH_SUPP,SE_INSTR,SE_SUBJ,SE_CONS,SE_AID,SE_SUPP,SE_OTH,CT_TEACH,CONS,LEA_DIR,COORD,SUPERVSR,SCH_DIR
01010,Alcona Community Schools,37.1,2,,,,,1.2,1,2.1,2,1.95,13.52,3,,,7,,,,,1,,,
02010,AuTrain-Onota Public Schools,5.23,0.86,,,,,1,,0.05,0.45,0.94,1.95,,,,1.65,,,,,,,,
02020,Burt Township School District,5,0.8,,,,,2,,,1,,2.85,,,,,,,,,,,,
02070,Munising Public Schools,32.34,7.59,,1,,,2.56,,2.34,4.7,3.11,14.81,0.67,4.66,1,6.62,,0.65,,,,,,
02080,Superior Central School District,15,3,,,0.17,,1.4,,0.67,2,,8.07,3,,,3.93,,,,,2,,,0.6
03000,Allegan Area Educational Service Agency,7.29,23.56,4,1,,,12.1,6.31,8.9,17.78,2,58.25,14,4.3,7.8,28.69,16.33,13.4,17,,4.5,,,
03010,Plainwell Community Schools,128.3,27,1,4,,,1.11,1,7.8,15,3.9,42.49,14,1,2,9,1,,,,4.74,,,
03020,Otsego Public Schools,113.19,21,1.25,5.5,1,,3,2,6.75,13.8,4,67.7,8.55,3.95,,9.3,1,,,,4,,,
03030,Allegan Public Schools,119.76,24.44,1,4.93,,2.5,9.4,2,1,17.24,1.01,61.7,8,8,2.5,4.91,5.3,1.5,,,1.43,,,
03040,Wayland Union Schools,136.87,18.82,,4,1,4.96,1,2.26,13.2,17.95,11.44,47.12,7.44,8,2.91,3.37,5,4.14,,,4,,,0.5
03050,Fennville Public Schools,65.85,15.42,0.5,1,,2.75,1.5,1,4.5,6.4,0.7,31.5,,6.8,1,4,1,,,,3,,,
03060,Martin Public Schools,28.58,7.8,,1,,,0.6,,1,3,8,34.3,2,,0.5,,0.8,1,,,,,,
03070,Hopkins Public Schools,74.09,14.4,,3,,,3.6,1.02,8,6.27,5.8,53.25,4.5,1.5,,6.6,1,,0.25,,,,,0.5
03080,Saugatuck Public Schools,42.45,7.35,,0.9,0.8,1.5,1,0.25,2.27,5.65,3.75,17.1,3.75,0.25,1,3,1.8,,,,0.6,,,0.9
03100,Hamilton Community Schools,122.85,19.32,,2.5,0.6,,2,2,7.85,14,1,75.39,12.65,2.85,2,18.62,3.7,,,,0.7,,,
03440,Glenn Public School District,3.05,2.95,,0.2,,,0.01,,0.39,0.45,,0.77,0.5,,,,,,,,,,,
03902,Outlook Academy,3.15,2,,0.4,,,0.2,,,,0.42,,,,,,0.38,,,,0.2,,,
04000,Alpena-Montmorency-Alcona ESD,1,1,1,,,,5.95,2,1.05,7,9,9,6,,17,11,6,1,,,,,,
04010,Alpena Public Schools,166.74,21.34,1,6.8,,,2.9,3,12,28.06,33.08,109.06,9.2,12.85,0.95,42.96,,,5.32,,2.6,,,0.5
04901,Bingham Arts Academy,14.5,2,1,,,,0.1,,0.9,1,3,1.5,,1,,,,,,,,,,
