DCODE,DNAME,TEACHER,INST_AID,INST_SUP,GUIDANCE,LIB_SPEC,LIB_SUPP,LEA_ADM,LEA_SUPP,SCH_ADM,SCH_SUPP,STU_SUPP,OTH_SUPP,SE_INSTR,SE_SUBJ,SE_CONS,SE_AID,SE_SUPP,SE_OTH,CT_TEACH,CONS,LEA_DIR,COORD,SUPERVSR,SCH_DIR
01010,Alcona Community Schools,33.11,1.57,0.86,,,,0.9,1,2.1,2.8,1.04,14.81,3,,,8.31,,,,,1,,,
02010,AuTrain-Onota Public Schools,4.81,0.86,,,,,0.76,,0.24,0.45,0.94,1.85,0.37,,,1.65,,,,,,,,0.05
02020,Burt Township School District,5,0.4,,,,,1,,,1,,1.6,,,0.05,,,,,,,,,
02070,Munising Public Schools,32.27,8.91,,1,,,1.99,,2.09,4.67,2.37,15.88,0.84,4,1,3.89,,0.61,0.5,,0.25,,,
02080,Superior Central School District,16.66,4,,,0.17,,1.2,,0.93,2,,6.07,1.67,,,3.93,,0.17,0.33,,2.07,,,0.6
03000,Allegan Area Educational Service Agency,10.19,24.35,1,1,,,11.95,5.87,8.7,18,1.85,60.75,15,1.5,5,31.69,15.13,16.9,18,,4.25,,,
03010,Plainwell Community Schools,113.45,28,1,3,,,1.11,1,7.5,16,2.5,42.44,13,1,2,10,1,,,,5.27,,,
03020,Otsego Public Schools,104.3,18.5,1,4.5,,,3,2,6.5,13.3,4,66.85,8.8,1.9,,7.8,1,,,,3.5,,,
03030,Allegan Public Schools,117.92,23.05,1,4.93,,2.25,13.4,2,1,17.16,2.35,59.79,7,7.5,2.5,5.78,5.3,1.5,,,3.77,,,
03040,Wayland Union Schools,134.44,19.55,3,3.3,3,4.96,1,2,11,18.95,14.85,57.1,10.5,7,2,3.37,6.3,4.14,,,4,,,0.5
03050,Fennville Public Schools,67.35,16.17,0.5,1,,1.95,1.5,1,3,7.4,1.2,32.2,,6,1,3,1,,,,1.5,,,1
03060,Martin Public Schools,27.58,8.78,,,,,0.6,,,3,8,29,2.52,,,,0.8,2,,,,,,
03070,Hopkins Public Schools,73.01,12.35,,2,,,2.8,1,6.47,6.27,6.1,50.39,5.13,2.87,,7.5,1,,0.75,,,,,1.78
03080,Saugatuck Public Schools,44.05,6.95,,1,,1.5,1,0.25,2.22,5.55,3,14.65,2.75,1,1,1.25,1.8,,,,0.6,,,1.55
03100,Hamilton Community Schools,123.91,21.32,,2.5,0.6,,2,1.5,9.35,13.25,1,69.5,13.5,2.33,2,17.62,4.3,,,,0.4,,,
03440,Glenn Public School District,3.05,2.95,,0.2,,,0.01,,0.4,0.5,,0.76,0.5,,,,,,,,,,,
03902,Outlook Academy,5.85,1,,,,,0.2,,0.8,1,1.02,,,,,,0.38,,,,0.2,,,
04000,Alpena-Montmorency-Alcona ESD,1,14,1,,,,5.95,1,0.3,5,12,9,5,,17,10,4,1,,,,,,
04010,Alpena Public Schools,162.54,20.15,1,7,,,2.9,3,12,26.42,31.39,108.95,10,13.05,0.95,45.48,,,5.07,,2.5,,,0.5
04901,Bingham Arts Academy,13,,1,,,,0.1,,0.9,1,4.5,1.5,,1,,,,,,,,,,
05010,Alba Public Schools,11.1,1,,,,,0.95,,0.05,,,3.75,1,,,,,,,,,,,
05035,Central Lake Public Schools,18.1,2,1,1,0.2,,1,,3.17,4,2.3,10.92,,,1.6,,,2,1.4,,,,,
05040,Bellaire Public Schools,18.2,1,,1,,,0.95,,1.65,2,2.75,8.84,2,,,,,,,,,,,
05060,Elk Rapids Schools,62.76,22.62,0.75,2,,,2.55,0.9,6.5,10.05,9.35,32.22,5,1,,1.2,,,,,0.5,,,3.1
05065,Ellsworth Community School,12.91,2.79,,1,,,1,,0.1,1,1.82,15.04,0.72,,,,,,0.58,,,,,2
05070,Mancelona Public Schools,46.57,12.6,,2.75,0.5,2.09,1,,6,9.26,1,17.15,5.4,,,5.02,,,,,,,,0.2
06010,Arenac Eastern School District,16.4,4.2,,0.8,,,2,0.5,,1.54,,4.06,0.2,1.6,,,,,,,,,,
06020,Au Gres-Sims School District,20.2,4.47,,0.5,,,2,1,2,1,0.2,10.03,0.8,1,,0.65,,,,,,,,
06050,Standish-Sterling Community Schools,72.05,17,1,2.85,,,2.5,1.7,6.1,7.52,2.3,60.2,4,3,,2,,,0.15,,2.25,,,
07010,Arvon Township School District,1.75,0.92,,,,,0.25,,,0.4,,,,,,,,,,,,,,
07020,Baraga Area Schools,25.16,2.5,,1.14,,,1.95,1,1.05,2.79,6.29,12.02,3.5,,,1,,,0.42,,0.3,,,
07040,L'Anse Area Schools,34.71,2.07,,2,,1.2,1,1,2.33,3.15,2,12.29,3,2,,3.5,,,0.5,,,,,0.05
08000,Barry ISD,1,4.2,,,,,3.2,,1,5.4,,5.2,5,,6.7,10,9.3,2,,,1,,,
08010,Delton Kellogg Schools,60.24,17.2,1.2,3,,,2,2,3.5,9.7,4.9,28.75,3.9,5.1,,4.5,,1,,,1.5,,,0.5
